nombre_evento,ciudad,fecha,categoria,necesidad_especial,precio,descripcion
Oceanogràfic Valencia,Valencia,2025-08-07 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Oceanogràfic Valencia en Valencia el 7 de August de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-08-29 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Museo del Prado actividades familiares en Bizkaia el 29 de August de 2025.
CaixaForum Barcelona,Barcelona,2025-04-09 00:00:00,Ocio,visual,Desde 30€,Disfruta de un literatura familiar en CaixaForum Barcelona en Barcelona el 9 de April de 2025.
Atlantis Aquarium Madrid,Madrid,2025-02-28 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un espectáculo familiar en Atlantis Aquarium Madrid en Madrid el 28 de February de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-12-17 00:00:00,Educación,visual,Gratis,Disfruta de un museo familiar en Museo Nacional de Ciencias Naturales en Madrid el 17 de December de 2025.
Museo del Mar de Galicia,A Coruña,2025-06-16 00:00:00,Educación,auditiva,Desde 10€,Disfruta de un exposición familiar en Museo del Mar de Galicia en A Coruña el 16 de June de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-04-12 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 12 de April de 2025.
Pueblo Español de Barcelona,Barcelona,2025-06-19 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Pueblo Español de Barcelona en Barcelona el 19 de June de 2025.
Feria Medieval Ibiza,Illes Balears,2025-01-02 00:00:00,Educación,auditiva,Desde 30€,Disfruta de un exposición familiar en Feria Medieval Ibiza en Illes Balears el 2 de January de 2025.
Parque Faunia Madrid,Madrid,2025-08-13 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Parque Faunia Madrid en Madrid el 13 de August de 2025.
PortAventura World,Madrid,2025-07-24 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un festival familiar en PortAventura World en Madrid el 24 de July de 2025.
Festival Pirineos Sur,Madrid,2025-09-15 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Festival Pirineos Sur en Madrid el 15 de September de 2025.
Isla Mágica Sevilla,Sevilla,2025-01-21 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en Isla Mágica Sevilla en Sevilla el 21 de January de 2025.
Festival de los Sentidos Albacete,Albacete,2025-09-14 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un festival familiar en Festival de los Sentidos Albacete en Albacete el 14 de September de 2025.
Museo de Cera de Madrid,Madrid,2025-07-29 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un espectáculo familiar en Museo de Cera de Madrid en Madrid el 29 de July de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-09-14 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un literatura familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 14 de September de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-11-14 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un museo familiar en Museo Interactivo de la Música Málaga en Málaga el 14 de November de 2025.
Teleférico de Madrid,Madrid,2025-11-11 00:00:00,Educación,auditiva,Desde 10€,Disfruta de un exposición familiar en Teleférico de Madrid en Madrid el 11 de November de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-08-04 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un concierto familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 4 de August de 2025.
Parque Faunia Madrid,Madrid,2025-11-01 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un espectáculo familiar en Parque Faunia Madrid en Madrid el 1 de November de 2025.
Laberinto de Villapresente Cantabria,Cantabria,2025-11-07 00:00:00,Educación,ninguna,Desde 20€,Disfruta de un exposición familiar en Laberinto de Villapresente Cantabria en Cantabria el 7 de November de 2025.
Familyland Tres Cantos,Madrid,2025-05-06 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un exposición familiar en Familyland Tres Cantos en Madrid el 6 de May de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-03-06 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un literatura familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 6 de March de 2025.
Atlantis Aquarium Madrid,Madrid,2025-04-04 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Atlantis Aquarium Madrid en Madrid el 4 de April de 2025.
Festival Tomavistas Madrid,Madrid,2025-12-21 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un espectáculo familiar en Festival Tomavistas Madrid en Madrid el 21 de December de 2025.
CaixaForum Madrid,Madrid,2025-04-20 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un concierto familiar en CaixaForum Madrid en Madrid el 20 de April de 2025.
Museo Interactivo de la Música Málaga,Málaga,2025-04-08 00:00:00,Ocio,visual,Gratis,Disfruta de un concierto familiar en Museo Interactivo de la Música Málaga en Málaga el 8 de April de 2025.
Parque Gulliver Valencia,Valencia,2025-02-16 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un parque temático familiar en Parque Gulliver Valencia en Valencia el 16 de February de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-03-21 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Karting Ángel Burgueño Madrid en Madrid el 21 de March de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-09-20 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un espectáculo familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 20 de September de 2025.
Festival de los Sentidos Albacete,Albacete,2025-04-23 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un parque temático familiar en Festival de los Sentidos Albacete en Albacete el 23 de April de 2025.
PortAventura World,Madrid,2025-07-07 00:00:00,Educación,auditiva,Desde 20€,Disfruta de un exposición familiar en PortAventura World en Madrid el 7 de July de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-06-08 00:00:00,Educación,visual,Desde 20€,Disfruta de un museo familiar en Museo Nacional de Ciencias Naturales en Madrid el 8 de June de 2025.
CosmoCaixa Barcelona,Barcelona,2025-06-20 00:00:00,Ocio,visual,Gratis,Disfruta de un literatura familiar en CosmoCaixa Barcelona en Barcelona el 20 de June de 2025.
Dinópolis Teruel,Teruel,2025-09-15 00:00:00,Educación,auditiva,Por confirmar,Disfruta de un exposición familiar en Dinópolis Teruel en Teruel el 15 de September de 2025.
Festival de los Sentidos Albacete,Albacete,2025-10-09 00:00:00,Ocio,auditiva,Gratis,Disfruta de un festival familiar en Festival de los Sentidos Albacete en Albacete el 9 de October de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-05-07 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un museo familiar en Concierto Aitana Estadio Metropolitano en Madrid el 7 de May de 2025.
PortAventura World,Madrid,2025-09-21 00:00:00,Educación,ninguna,Gratis,Disfruta de un exposición familiar en PortAventura World en Madrid el 21 de September de 2025.
Isla Mágica Sevilla,Sevilla,2025-09-12 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un literatura familiar en Isla Mágica Sevilla en Sevilla el 12 de September de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-08-07 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un literatura familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 7 de August de 2025.
Jurassic World Experience Madrid,Madrid,2025-05-05 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Jurassic World Experience Madrid en Madrid el 5 de May de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-05-16 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un festival familiar en Concierto Aitana Estadio Metropolitano en Madrid el 16 de May de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-09-05 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un literatura familiar en Concierto Aitana Estadio Metropolitano en Madrid el 5 de September de 2025.
Oceanogràfic Valencia,Valencia,2025-05-30 00:00:00,Ocio,visual,Desde 10€,Disfruta de un festival familiar en Oceanogràfic Valencia en Valencia el 30 de May de 2025.
Laberinto de Villapresente Cantabria,Cantabria,2025-12-04 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un espectáculo familiar en Laberinto de Villapresente Cantabria en Cantabria el 4 de December de 2025.
CaixaForum Barcelona,Barcelona,2025-01-18 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en CaixaForum Barcelona en Barcelona el 18 de January de 2025.
CaixaForum Madrid,Madrid,2025-09-23 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un festival familiar en CaixaForum Madrid en Madrid el 23 de September de 2025.
Bioparc Valencia,Valencia,2025-04-02 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Bioparc Valencia en Valencia el 2 de April de 2025.
Museo de la Felicidad Madrid,Madrid,2025-07-25 00:00:00,Educación,visual,Desde 5€,Disfruta de un museo familiar en Museo de la Felicidad Madrid en Madrid el 25 de July de 2025.
Feria Medieval Ibiza,Illes Balears,2025-09-23 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un concierto familiar en Feria Medieval Ibiza en Illes Balears el 23 de September de 2025.
Isla Mágica Sevilla,Sevilla,2025-07-29 00:00:00,Ocio,visual,Desde 5€,Disfruta de un festival familiar en Isla Mágica Sevilla en Sevilla el 29 de July de 2025.
Museo Nacional de Ciencias Naturales,Madrid,2025-12-23 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Museo Nacional de Ciencias Naturales en Madrid el 23 de December de 2025.
Museo de la Felicidad Madrid,Madrid,2025-04-25 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Museo de la Felicidad Madrid en Madrid el 25 de April de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-06-03 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un concierto familiar en Museo del Prado actividades familiares en Bizkaia el 3 de June de 2025.
Bioparc Valencia,Valencia,2025-03-30 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Bioparc Valencia en Valencia el 30 de March de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-09-11 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un parque temático familiar en Harpia Balaguer Medieval Lleida en Lleida el 11 de September de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-05-23 00:00:00,Educación,ninguna,Gratis,Disfruta de un exposición familiar en Museo del Prado actividades familiares en Bizkaia el 23 de May de 2025.
Feria Medieval Ibiza,Illes Balears,2025-06-30 00:00:00,Educación,visual,Gratis,Disfruta de un exposición familiar en Feria Medieval Ibiza en Illes Balears el 30 de June de 2025.
Castillo de Manzanares el Real,Ciudad Real,2025-12-23 00:00:00,Educación,auditiva,Desde 5€,Disfruta de un exposición familiar en Castillo de Manzanares el Real en Ciudad Real el 23 de December de 2025.
Festival Tomavistas Madrid,Madrid,2025-03-25 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un exposición familiar en Festival Tomavistas Madrid en Madrid el 25 de March de 2025.
Jurassic World Experience Madrid,Madrid,2025-08-14 00:00:00,Ocio,visual,Desde 5€,Disfruta de un parque temático familiar en Jurassic World Experience Madrid en Madrid el 14 de August de 2025.
Biblioteca Eugenio Trías actividades infantiles,Madrid,2025-05-24 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un museo familiar en Biblioteca Eugenio Trías actividades infantiles en Madrid el 24 de May de 2025.
Festival Tomavistas Madrid,Madrid,2025-11-11 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Festival Tomavistas Madrid en Madrid el 11 de November de 2025.
L'Aquàrium Barcelona,Barcelona,2025-05-15 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en L'Aquàrium Barcelona en Barcelona el 15 de May de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-11-27 00:00:00,Ocio,visual,Por confirmar,Disfruta de un concierto familiar en Museo de la Ciencia Valladolid en Valladolid el 27 de November de 2025.
Acuario de Gijón,Asturias,2025-06-04 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un concierto familiar en Acuario de Gijón en Asturias el 4 de June de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-04-15 00:00:00,Educación,visual,Gratis,Disfruta de un exposición familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 15 de April de 2025.
Festival Tomavistas Madrid,Madrid,2025-06-07 00:00:00,Ocio,ninguna,Gratis,Disfruta de un concierto familiar en Festival Tomavistas Madrid en Madrid el 7 de June de 2025.
Festival de los Sentidos Albacete,Albacete,2025-02-09 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Festival de los Sentidos Albacete en Albacete el 9 de February de 2025.
Bioparc Valencia,Valencia,2025-02-07 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un literatura familiar en Bioparc Valencia en Valencia el 7 de February de 2025.
Atlantis Aquarium Madrid,Madrid,2025-05-17 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un parque temático familiar en Atlantis Aquarium Madrid en Madrid el 17 de May de 2025.
Museo de las Ilusiones Madrid,Madrid,2025-10-29 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un festival familiar en Museo de las Ilusiones Madrid en Madrid el 29 de October de 2025.
Bioparc Valencia,Valencia,2025-07-08 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Bioparc Valencia en Valencia el 8 de July de 2025.
Museo Naval de Madrid,Madrid,2025-10-08 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un espectáculo familiar en Museo Naval de Madrid en Madrid el 8 de October de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-03-18 00:00:00,Educación,visual,Desde 20€,Disfruta de un museo familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 18 de March de 2025.
Zoo Aquarium de Madrid,Madrid,2025-02-22 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Zoo Aquarium de Madrid en Madrid el 22 de February de 2025.
Bioparc Valencia,Valencia,2025-07-20 00:00:00,Ocio,visual,Por confirmar,Disfruta de un literatura familiar en Bioparc Valencia en Valencia el 20 de July de 2025.
Bioparc Valencia,Valencia,2025-05-01 00:00:00,Educación,auditiva,Desde 5€,Disfruta de un museo familiar en Bioparc Valencia en Valencia el 1 de May de 2025.
CaixaForum Barcelona,Barcelona,2025-01-16 00:00:00,Educación,ninguna,Por confirmar,Disfruta de un exposición familiar en CaixaForum Barcelona en Barcelona el 16 de January de 2025.
Festival Tomavistas Madrid,Madrid,2025-12-03 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un literatura familiar en Festival Tomavistas Madrid en Madrid el 3 de December de 2025.
Parque Faunia Madrid,Madrid,2025-12-27 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un concierto familiar en Parque Faunia Madrid en Madrid el 27 de December de 2025.
L'Aquàrium Barcelona,Barcelona,2025-09-01 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 1 de September de 2025.
PortAventura World,Madrid,2025-06-26 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un festival familiar en PortAventura World en Madrid el 26 de June de 2025.
Feria Medieval Ibiza,Illes Balears,2025-10-06 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un espectáculo familiar en Feria Medieval Ibiza en Illes Balears el 6 de October de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-03-09 00:00:00,Ocio,auditiva,Gratis,Disfruta de un festival familiar en Festival Emérita Lúdica Mérida en Badajoz el 9 de March de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-03-25 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Karting Ángel Burgueño Madrid en Madrid el 25 de March de 2025.
Acuario de Gijón,Asturias,2025-04-12 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un literatura familiar en Acuario de Gijón en Asturias el 12 de April de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-07-14 00:00:00,Educación,auditiva,Desde 20€,Disfruta de un museo familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 14 de July de 2025.
Feria Medieval Ibiza,Illes Balears,2025-02-20 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un exposición familiar en Feria Medieval Ibiza en Illes Balears el 20 de February de 2025.
Museo del Ferrocarril de Madrid,Madrid,2025-06-30 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un espectáculo familiar en Museo del Ferrocarril de Madrid en Madrid el 30 de June de 2025.
Feria del Caballo Jerez,Cádiz,2025-01-30 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 30 de January de 2025.
Jurassic World Experience Madrid,Madrid,2025-09-01 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Jurassic World Experience Madrid en Madrid el 1 de September de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-06-04 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Museo del Prado actividades familiares en Bizkaia el 4 de June de 2025.
Teleférico de Madrid,Madrid,2025-06-26 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un parque temático familiar en Teleférico de Madrid en Madrid el 26 de June de 2025.
Oceanogràfic Valencia,Valencia,2025-06-27 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Oceanogràfic Valencia en Valencia el 27 de June de 2025.
Festival de los Sentidos Albacete,Albacete,2025-04-06 00:00:00,Educación,ninguna,Gratis,Disfruta de un exposición familiar en Festival de los Sentidos Albacete en Albacete el 6 de April de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-05-09 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un espectáculo familiar en Festival Emérita Lúdica Mérida en Badajoz el 9 de May de 2025.
CaixaForum Barcelona,Barcelona,2025-09-17 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un espectáculo familiar en CaixaForum Barcelona en Barcelona el 17 de September de 2025.
Museo de Cera de Madrid,Madrid,2025-02-15 00:00:00,Ocio,auditiva,Desde 20€,Disfruta de un literatura familiar en Museo de Cera de Madrid en Madrid el 15 de February de 2025.
Feria del Caballo Jerez,Cádiz,2025-05-06 00:00:00,Educación,auditiva,Desde 10€,Disfruta de un exposición familiar en Feria del Caballo Jerez en Cádiz el 6 de May de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-09-23 00:00:00,Ocio,ninguna,Gratis,Disfruta de un espectáculo familiar en Harpia Balaguer Medieval Lleida en Lleida el 23 de September de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-08-23 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un festival familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 23 de August de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-06-08 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un concierto familiar en Concierto Aitana Estadio Metropolitano en Madrid el 8 de June de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-02-11 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 11 de February de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-04-07 00:00:00,Ocio,auditiva,Desde 30€,Disfruta de un literatura familiar en Festival de Magia - Parque de Atracciones en Madrid el 7 de April de 2025.
Parque Warner Madrid,Madrid,2025-03-17 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un parque temático familiar en Parque Warner Madrid en Madrid el 17 de March de 2025.
Laberinto de Villapresente Cantabria,Cantabria,2025-01-21 00:00:00,Ocio,auditiva,Desde 10€,Disfruta de un festival familiar en Laberinto de Villapresente Cantabria en Cantabria el 21 de January de 2025.
Museo de la Felicidad Madrid,Madrid,2025-02-14 00:00:00,Ocio,auditiva,Gratis,Disfruta de un espectáculo familiar en Museo de la Felicidad Madrid en Madrid el 14 de February de 2025.
Bioparc Valencia,Valencia,2025-04-30 00:00:00,Ocio,visual,Por confirmar,Disfruta de un espectáculo familiar en Bioparc Valencia en Valencia el 30 de April de 2025.
Pueblo Español de Barcelona,Barcelona,2025-10-20 00:00:00,Educación,ninguna,Desde 30€,Disfruta de un museo familiar en Pueblo Español de Barcelona en Barcelona el 20 de October de 2025.
Parque de la Naturaleza de Cabárceno Cantabria,Cantabria,2025-12-09 00:00:00,Educación,ninguna,Gratis,Disfruta de un museo familiar en Parque de la Naturaleza de Cabárceno Cantabria en Cantabria el 9 de December de 2025.
L'Aquàrium Barcelona,Barcelona,2025-04-04 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un festival familiar en L'Aquàrium Barcelona en Barcelona el 4 de April de 2025.
Festival Pirineos Sur,Madrid,2025-09-21 00:00:00,Ocio,visual,Desde 30€,Disfruta de un parque temático familiar en Festival Pirineos Sur en Madrid el 21 de September de 2025.
Concierto Aitana Estadio Metropolitano,Madrid,2025-07-30 00:00:00,Ocio,ninguna,Gratis,Disfruta de un literatura familiar en Concierto Aitana Estadio Metropolitano en Madrid el 30 de July de 2025.
Festival de Magia - Parque de Atracciones,Madrid,2025-04-03 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Festival de Magia - Parque de Atracciones en Madrid el 3 de April de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-03-20 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un literatura familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 20 de March de 2025.
Oceanogràfic Valencia,Valencia,2025-12-16 00:00:00,Ocio,ninguna,Gratis,Disfruta de un festival familiar en Oceanogràfic Valencia en Valencia el 16 de December de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-01-21 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un parque temático familiar en Festival Emérita Lúdica Mérida en Badajoz el 21 de January de 2025.
Pinocho en el Circo - Teatro San Pol,Barcelona,2025-05-13 00:00:00,Educación,ninguna,Desde 5€,Disfruta de un exposición familiar en Pinocho en el Circo - Teatro San Pol en Barcelona el 13 de May de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-05-27 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un parque temático familiar en Festival Emérita Lúdica Mérida en Badajoz el 27 de May de 2025.
CaixaForum Madrid,Madrid,2025-04-29 00:00:00,Ocio,visual,Por confirmar,Disfruta de un parque temático familiar en CaixaForum Madrid en Madrid el 29 de April de 2025.
Pueblo Español de Barcelona,Barcelona,2025-07-13 00:00:00,Ocio,visual,Desde 5€,Disfruta de un parque temático familiar en Pueblo Español de Barcelona en Barcelona el 13 de July de 2025.
Karting Ángel Burgueño Madrid,Madrid,2025-11-23 00:00:00,Ocio,auditiva,Por confirmar,Disfruta de un festival familiar en Karting Ángel Burgueño Madrid en Madrid el 23 de November de 2025.
CaixaForum Barcelona,Barcelona,2025-07-18 00:00:00,Educación,auditiva,Desde 30€,Disfruta de un museo familiar en CaixaForum Barcelona en Barcelona el 18 de July de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-08-01 00:00:00,Ocio,visual,Por confirmar,Disfruta de un parque temático familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 1 de August de 2025.
Ciudad de las Artes y las Ciencias Valencia,Valencia,2025-11-15 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Ciudad de las Artes y las Ciencias Valencia en Valencia el 15 de November de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-01-29 00:00:00,Ocio,ninguna,Desde 30€,Disfruta de un literatura familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 29 de January de 2025.
Atlantis Aquarium Madrid,Madrid,2025-01-27 00:00:00,Educación,auditiva,Por confirmar,Disfruta de un museo familiar en Atlantis Aquarium Madrid en Madrid el 27 de January de 2025.
Festival Emérita Lúdica Mérida,Badajoz,2025-05-15 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un parque temático familiar en Festival Emérita Lúdica Mérida en Badajoz el 15 de May de 2025.
Laberinto de Villapresente Cantabria,Cantabria,2025-12-01 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un festival familiar en Laberinto de Villapresente Cantabria en Cantabria el 1 de December de 2025.
Oceanogràfic Valencia,Valencia,2025-11-12 00:00:00,Ocio,auditiva,Desde 5€,Disfruta de un literatura familiar en Oceanogràfic Valencia en Valencia el 12 de November de 2025.
Museo de la Ciencia Valladolid,Valladolid,2025-10-22 00:00:00,Ocio,ninguna,Desde 10€,Disfruta de un espectáculo familiar en Museo de la Ciencia Valladolid en Valladolid el 22 de October de 2025.
Parque Faunia Madrid,Madrid,2025-11-30 00:00:00,Educación,ninguna,Desde 10€,Disfruta de un museo familiar en Parque Faunia Madrid en Madrid el 30 de November de 2025.
Harpia Balaguer Medieval Lleida,Lleida,2025-09-12 00:00:00,Educación,visual,Gratis,Disfruta de un exposición familiar en Harpia Balaguer Medieval Lleida en Lleida el 12 de September de 2025.
Zoo Aquarium de Madrid,Madrid,2025-09-03 00:00:00,Ocio,visual,Por confirmar,Disfruta de un espectáculo familiar en Zoo Aquarium de Madrid en Madrid el 3 de September de 2025.
Pueblo Español de Barcelona,Barcelona,2025-04-26 00:00:00,Ocio,visual,Desde 30€,Disfruta de un espectáculo familiar en Pueblo Español de Barcelona en Barcelona el 26 de April de 2025.
Museo del Prado actividades familiares,Bizkaia,2025-08-16 00:00:00,Educación,ninguna,Gratis,Disfruta de un museo familiar en Museo del Prado actividades familiares en Bizkaia el 16 de August de 2025.
Teleférico de Madrid,Madrid,2025-09-06 00:00:00,Ocio,auditiva,Gratis,Disfruta de un festival familiar en Teleférico de Madrid en Madrid el 6 de September de 2025.
Museo de Cera de Madrid,Madrid,2025-08-17 00:00:00,Educación,visual,Desde 5€,Disfruta de un museo familiar en Museo de Cera de Madrid en Madrid el 17 de August de 2025.
Acuario de Gijón,Asturias,2025-10-29 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un literatura familiar en Acuario de Gijón en Asturias el 29 de October de 2025.
CaixaForum Madrid,Madrid,2025-05-10 00:00:00,Ocio,ninguna,Desde 20€,Disfruta de un concierto familiar en CaixaForum Madrid en Madrid el 10 de May de 2025.
Museo Naval de Madrid,Madrid,2025-04-01 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un concierto familiar en Museo Naval de Madrid en Madrid el 1 de April de 2025.
CaixaForum Madrid,Madrid,2025-08-12 00:00:00,Ocio,visual,Desde 20€,Disfruta de un espectáculo familiar en CaixaForum Madrid en Madrid el 12 de August de 2025.
CaixaForum Madrid,Madrid,2025-06-18 00:00:00,Ocio,visual,Desde 30€,Disfruta de un festival familiar en CaixaForum Madrid en Madrid el 18 de June de 2025.
Acuario de Gijón,Asturias,2025-03-21 00:00:00,Educación,auditiva,Por confirmar,Disfruta de un exposición familiar en Acuario de Gijón en Asturias el 21 de March de 2025.
Maratón de los Cuentos Guadalajara,Guadalajara,2025-05-18 00:00:00,Ocio,ninguna,Por confirmar,Disfruta de un parque temático familiar en Maratón de los Cuentos Guadalajara en Guadalajara el 18 de May de 2025.
Feria del Caballo Jerez,Cádiz,2025-05-23 00:00:00,Ocio,ninguna,Desde 5€,Disfruta de un espectáculo familiar en Feria del Caballo Jerez en Cádiz el 23 de May de 2025.
